seq,degrade,degrade_label,baseline_dir,adaptive_dir,ape_baseline_m,ape_adaptive_m,delta_ape_pct,rpe_baseline_m,rpe_adaptive_m,c_mean,baseline_diverged,adaptive_diverged,verdict,batch_id,run_index
MH_04_difficult,gaussian:5,D1 blur σ=5,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_baseline_gaussian_5_20260618_193820,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_adaptive_gaussian_5_20260618_194013,1.805753,0.448291,-75.17429017146864,0.272531,0.176896,0.6467476371428568,False,False,confirmed,,0
MH_04_difficult,gaussian:9,D1 blur σ=9,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_baseline_gaussian_9_20260618_194213,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_adaptive_gaussian_9_20260618_194404,,,,,,,False,False,no_metrics,,0
MH_04_difficult,brightness:40,D3 bright +40%,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_baseline_brightness_40_20260618_200538,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_adaptive_brightness_40_20260618_200729,0.246065,0.448586,82.30386280047955,0.106858,0.202913,0.6429581963350782,False,False,worse,,0
MH_04_difficult,brightness:60,D3 bright +60%,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_baseline_brightness_60_20260618_200930,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_adaptive_brightness_60_20260618_201121,2.444512,1.928981,-21.089321713290833,0.454112,0.310828,0.6384943850658854,False,False,confirmed,,0
MH_04_difficult,,clean,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_baseline_20260618_192804,/home/g-tancyura/aspiranture/datasets/results/MH_04_difficult_adaptive_20260618_192955,0.492503,0.335292,-31.92082078687847,0.105039,0.12289,0.6467234648241206,False,False,unexpected_better,,0
MH_05_difficult,gaussian:5,D1 blur σ=5,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_gaussian_5_20260618_194606,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_gaussian_5_20260618_195024,,0.424516,,,0.137309,0.6486479795081973,True,False,no_metrics,,0
MH_05_difficult,gaussian:5,D1 blur σ=5,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_gaussian_5_20260618_194606_retry2,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_gaussian_5_20260618_205412,0.341453,,,0.145996,,0.5775129562841527,False,True,no_metrics,,0
MH_05_difficult,gaussian:9,D1 blur σ=9,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_gaussian_9_20260618_195248,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_gaussian_9_20260618_195912,,,,,,0.5711373116883117,True,True,no_metrics,,0
MH_05_difficult,gaussian:9,D1 blur σ=9,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_gaussian_9_20260618_195248_retry2,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_gaussian_9_20260618_195912_retry2,,,,,,0.5642221000000001,True,True,no_metrics,,0
MH_05_difficult,gaussian:9,D1 blur σ=9,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_gaussian_9_20260618_195248_retry3,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_gaussian_9_20260618_195912_retry3,,,,,,0.6084811935483877,True,True,no_metrics,,0
MH_05_difficult,brightness:40,D3 bright +40%,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_brightness_40_20260618_201313,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_brightness_40_20260618_201529,0.42341,0.329406,-22.201648520346716,0.100828,0.097675,0.6598118573099416,False,False,confirmed,,0
MH_05_difficult,brightness:60,D3 bright +60%,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_brightness_60_20260618_201756,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_brightness_60_20260618_202009,0.513364,0.27287,-46.84668188653666,0.105053,0.10027,0.6615100633187778,False,False,confirmed,,0
MH_05_difficult,,clean,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_baseline_20260618_193147,/home/g-tancyura/aspiranture/datasets/results/MH_05_difficult_adaptive_20260618_193605,,0.34233,,,0.102826,0.6569524408117249,True,False,no_metrics,,0
